,date,ticker,action,shares,price,cost,cash_remaining
0,2024-07-12,AAPL,BUY,108,229.46685791015625,24782.420654296875,25217.579345703125
1,2024-07-12,MSFT,BUY,55,450.0990905761719,24755.449981689453,462.1293640136719
2,2024-08-21,AAPL,BUY,2,225.60696411132812,451.21392822265625,10.915435791015625
